cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3167202,2,3,1338458,39941,2,70,1,4,2,1,2,2,4,,,,,,,2,2,,,0,2,,,0,937,0,0,0,550272476199873,563285963455599
3167202,2,3,1461169,40361,2,58,1,4,2,1,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,1427038,40389,2,56,2,4,1,1,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1366381,40478,1,70,1,2,2,1,1,1,4,,,,,,,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,3209227,41497,1,45,2,4,2,1,1,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,550,550272476199873,563285963455599
3167202,2,3,3207969,41965,2,16,3,4,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1487217,42427,2,62,1,1,2,1,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206729,42991,1,6,3,1,1,1,2,1,1,1,5,2,,,,,,,,,,,,,0,,100,,550272476199873,563285963455599
3167202,2,3,1392683,44439,2,6,3,1,1,1,2,2,1,1,5,1,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1496820,44583,2,19,3,1,1,1,2,1,1,1,7,3,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208265,46056,2,16,3,4,1,1,2,1,1,1,7,3,,,,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209860,46674,2,37,1,4,2,2,2,1,3,,,,4,3,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1521986,47781,1,12,5,4,2,1,1,1,1,1,5,8,,,,,,,,,,,,,0,,250,,550272476199873,563285963455599
3167202,2,3,3208875,47967,1,60,1,1,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,1320,0,0,0,550272476199873,563285963455599
3167202,2,3,3207800,48473,2,2,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3209695,48969,1,44,8,1,1,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209292,50902,2,41,1,4,1,1,2,2,3,,,,4,1,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207252,51594,1,55,1,4,2,1,2,1,3,,,,5,6,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208427,52264,2,5,3,1,2,1,2,1,1,1,5,1,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3206799,52335,1,16,3,4,1,1,2,1,1,1,7,1,,,,2,2,,,0,2,,,0,0,0,100,0,550272476199873,563285963455599
3167202,2,3,3209681,53459,2,51,1,4,2,1,2,1,3,,,,8,3,1,1,,2,8,2300,1,12,25300,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208721,55238,1,58,1,1,1,1,2,1,3,,,,5,7,2,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,1457825,56195,2,10,5,1,1,1,2,1,1,1,5,6,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3207017,57148,2,12,3,4,1,1,2,1,1,1,5,6,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1447243,58346,1,12,3,4,1,1,2,1,1,1,5,9,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1453516,58725,2,9,3,4,1,1,1,1,1,1,5,5,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3207553,59243,2,48,2,1,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3210059,60090,2,52,1,4,2,1,2,1,3,,,,8,10,1,1,,2,1,600,1,12,7200,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1357140,60123,2,46,1,4,2,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209952,60405,1,6,3,1,1,1,1,2,1,1,5,1,,,,,,,,,,,,,0,,220,,550272476199873,563285963455599
3167202,2,3,3208449,61345,2,30,1,4,2,1,2,1,1,1,10,,,,,1,,2,4,1260,1,12,15120,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1363767,62210,1,4,3,4,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1509524,62685,1,30,2,4,2,1,2,1,3,,,,8,2,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1372588,63140,2,7,3,4,1,1,2,1,1,1,5,4,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1540366,63196,1,68,2,1,1,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,1423288,63414,1,4,3,4,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3206809,63844,1,10,3,1,1,1,1,2,1,1,5,6,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3208638,63909,1,4,3,4,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1527085,64283,1,72,2,4,2,1,2,1,4,,,,,,,2,2,,,0,2,,,0,880,0,0,0,550272476199873,563285963455599
3167202,2,3,3208430,64789,2,34,1,4,2,1,2,1,3,,,,5,5,2,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3209121,66312,2,3,3,1,1,1,2,2,1,1,2,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,1343115,67301,1,19,3,4,1,1,2,1,3,,,,8,3,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1386947,67780,2,31,1,4,2,1,2,1,3,,,,8,3,1,1,,2,1,270,1,12,3240,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1418276,68025,2,28,3,4,2,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206579,69330,2,52,1,2,2,1,2,1,3,,,,13,,,1,,2,8,1973,1,12,23676,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3207801,69445,2,4,3,1,1,1,2,2,1,1,5,1,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3208582,69835,2,13,3,4,1,1,2,1,1,1,7,1,,,,,,,,,,,,,0,,250,,550272476199873,563285963455599
3167202,2,3,3209234,71516,1,21,3,4,1,1,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1489496,71779,2,48,1,4,2,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206967,74233,1,33,2,4,2,1,2,1,3,,,,5,8,1,1,,2,1,400,1,12,4800,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3206557,74714,1,9,3,4,1,1,2,2,1,1,5,4,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3207245,75989,1,5,3,2,1,1,2,1,1,1,3,,,,,,,,,,,,,,0,,0,,550272476199873,563285963455599
3167202,2,3,3206951,76505,1,53,2,4,2,1,2,1,3,,,,8,3,1,1,,2,1,954,1,12,11448,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1422465,77868,2,32,1,4,2,1,2,1,3,,,,8,3,1,1,,2,1,350,1,12,4600,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,1483893,78569,2,61,1,4,2,1,1,1,3,,,,4,2,2,2,2,,,0,2,,,0,954,0,0,0,550272476199873,563285963455599
3167202,2,3,3207652,81030,1,35,3,4,1,1,1,1,3,,,,8,3,1,1,,2,1,937,1,12,11244,0,0,0,0,0,550272476199873,563285963455599
3167202,2,3,3208340,81514,1,31,3,1,1,1,1,1,3,,,,13,,,2,2,,,0,2,,,0,937,0,0,0,550272476199873,563285963455599
3167202,2,3,3209938,82703,1,12,3,4,1,1,2,1,1,1,5,9,,,,,,,,,,,,,0,,100,,550272476199873,563285963455599
